video_id,video_title,channel_id,channel_title,publish_date,view_count,like_count,comment_count,duration,has_transcript,youtube_url,transcript_source
hZLYTMt5bNA,"北京天安門元旦升旗10分鐘全紀錄 ""三大元素""震撼動容畫面曝",中天新聞,中天新聞,2024-01-01,159138,2806,398,,No,https://www.youtube.com/watch?v=hZLYTMt5bNA,
HRN5q6K3hw8,"【全程字幕】賴清德""災難說""被蔡總統”糾正”了! 當場""宣示主權"":憲法不是風險",中天新聞,中天新聞,2024-01-01,178959,2055,1468,,No,https://www.youtube.com/watch?v=HRN5q6K3hw8,
dwFlFsrCcNw,【每日必看】侯友宜女兒照曝光!魔羯正妹黑長髮 一句話感動萬人｜113挺侯康護台灣9幸福 藍元旦升旗號召揮國旗挺國家  20240101,中天新聞,中天新聞,2024-01-01,96500,2372,135,,No,https://www.youtube.com/watch?v=dwFlFsrCcNw,
LlbOuq4oDZ8,"【全程字幕】獲趙少康邀請出席辯論會 賀瓏驚喜現身首度""表態要挺誰""",中天新聞,中天新聞,2024-01-01,352141,5392,753,,No,https://www.youtube.com/watch?v=LlbOuq4oDZ8,
4texTAKiORs,【全程CC字幕】轟賴清德違建耗公帑跟貪瀆沒兩樣! 趙少康: 若當選副總統薪水一毛不領還捐官邸,中天新聞,中天新聞,2024-01-01,56183,2631,396,,No,https://www.youtube.com/watch?v=4texTAKiORs,
sLIvohzS02E,"媒體問""憲法vs.台獨黨綱""誰是神山?誰是災難? 趙少康""稀飯牛排說""霸氣回應:賴清德.台獨.戰爭才是災難",中天新聞,中天新聞,2024-01-01,145671,3453,581,,No,https://www.youtube.com/watch?v=sLIvohzS02E,
RxBqXPmupD8,"後台互動三分鐘畫面曝光! 趙少康.賀瓏互贈小驚喜 齊呼""叫我戰鬥藍""越喊越怪...",中天新聞,中天新聞,2024-01-01,93987,3599,191,,No,https://www.youtube.com/watch?v=RxBqXPmupD8,
Dg2uOcBAB4w,"直攻要害!趙少康直問綠再生能源弊案多 蕭美琴""一度講不下去""還超時",中天新聞,中天新聞,2024-01-01,230203,4083,749,,No,https://www.youtube.com/watch?v=Dg2uOcBAB4w,
qAr_YQ6Nr-Y,日7.6強震狂晃!木製房屋疑遭震垮  超商貨架全倒商品墜地  民眾尖叫竄逃 驚人畫面曝光,中天新聞,中天新聞,2024-01-01,116041,858,195,,No,https://www.youtube.com/watch?v=qAr_YQ6Nr-Y,
Rx_wQrTJBJE,"第一題就被電到""金鑠鑠""?! ""核能.美資來台""蕭美琴一開口....心虛了? 趙少康嗆爆!",中天新聞,中天新聞,2024-01-01,128282,2578,435,,No,https://www.youtube.com/watch?v=Rx_wQrTJBJE,
LC30hwVXYDI,"趙少康蕭美琴""直球對決""!董智森酸""她就是草包!"" | 趙少康辯論會""放大招""?謝寒冰讚有""副總統格局""",中天新聞,中天新聞,2024-01-01,72490,2474,154,,No,https://www.youtube.com/watch?v=LC30hwVXYDI,
3sCVGZzHFoA,駭人!日本能登7.6強震 木製平房倒一片畫面曝光 民眾全哭了....驚見地面裂開瓏起 太嚇人,中天新聞,中天新聞,2024-01-01,111785,788,131,,No,https://www.youtube.com/watch?v=3sCVGZzHFoA,
5DRj87-Kw0w,"趙少康控""出賣台積電""重創蕭美琴?蔡正元酸蕭""讀稿機2.0""",中天新聞,中天新聞,2024-01-01,140491,4407,345,,No,https://www.youtube.com/watch?v=5DRj87-Kw0w,
jn81iV4blBM,陳鳳馨怒了:不要用假民調嚇大家 誰值得信任看歷史紀錄,中天新聞,中天新聞,2024-01-01,208446,6453,1247,,No,https://www.youtube.com/watch?v=jn81iV4blBM,
4XrCPrj-Izo,"趙少康""賀瓏夜夜秀""效果奇佳 謝寒冰分析趙少康""這點""贏了",中天新聞,中天新聞,2024-01-01,124374,4292,342,,No,https://www.youtube.com/watch?v=4XrCPrj-Izo,
lEwOTwLKNZA,2024開場驚滔駭浪 日本7.6強震急發大海嘯警報 介文汲驚呼地都震成波浪狀 郭正亮曝這些網紅在日本,中天新聞,中天新聞,2024-01-01,83033,1266,178,,No,https://www.youtube.com/watch?v=lEwOTwLKNZA,
EA1D_J_0bIc,"【每日必看】日本能登7.6強震恐是""餘震"" 不排除地下水釀禍｜日本強震已3死! 災民面臨零下低溫考驗 20240102",中天新聞,中天新聞,2024-01-01,69941,749,138,,No,https://www.youtube.com/watch?v=EA1D_J_0bIc,
_uL4gLTu0ys,"【每日必看】趙辯論火力驚人嚇到綠營! 郭正亮:很多都打到要害｜""賴皮寮""浪費公帑?國安局:每月租金8千 網:又是做功德? 20240102",中天新聞,中天新聞,2024-01-02,87098,2694,211,,No,https://www.youtube.com/watch?v=_uL4gLTu0ys,
5LlLIQXoLds,【每日必看】50萬票決勝負? 看完2024總統民調 郭正亮驚爆:他怕了｜副總統辯論後 TVBS封關民調震撼出爐 侯賴差距驚人 20240102,中天新聞,中天新聞,2024-01-02,58434,1194,389,,No,https://www.youtube.com/watch?v=5LlLIQXoLds,
Ffx2e7Yq_CM,【每日必看】聯合報封關民調跌破眼鏡! 中間選民態度變了｜怎麼說服朋友投票? 陳鳳馨舉3大理由:為了台灣 20240102,中天新聞,中天新聞,2024-01-02,98890,3400,501,,No,https://www.youtube.com/watch?v=Ffx2e7Yq_CM,
-4g6IKnHr5k,"副總統辯論會""瞇眼低頭""被抓包?! 賀瓏真的睡著了? 詭計曝光",中天新聞,中天新聞,2024-01-02,82012,1331,189,,No,https://www.youtube.com/watch?v=-4g6IKnHr5k,
akaLDNDu7Hk,"高端股東名冊曝...逾千名民進黨員還有""這""大咖?! 賴清德轉彎喊公開合約 高端竟囂張撂話 薛瑞元.鄭文燦竟附和 王鴻薇怒嗆笑死人",中天新聞,中天新聞,2024-01-02,174432,4983,672,,No,https://www.youtube.com/watch?v=akaLDNDu7Hk,
dEo1vbKJbH0,"辭中廣不夠?民進黨鴨霸要求""棄股權"" 趙少康怒嗆:你""共產黨""阿",中天新聞,中天新聞,2024-01-02,105516,3057,451,,No,https://www.youtube.com/watch?v=dEo1vbKJbH0,
rmyK3paMkVg,"重磅鐵證曝光!蕭美琴""雙重國籍謎""抓包  張靜點出兩大關鍵  怒斥""絕對謊言""",中天新聞,中天新聞,2024-01-02,68469,2981,420,,No,https://www.youtube.com/watch?v=rmyK3paMkVg,
nNRue0cZ3-Q,"不滿遭指""綠媒""!自由時報嗆踹共 道歉了?趙少康一句話回懟  記者全噴笑",中天新聞,中天新聞,2024-01-02,404512,11816,1081,,No,https://www.youtube.com/watch?v=nNRue0cZ3-Q,
DiiOIgFSvKQ,高端炒股政府背書把百姓當韭菜割?! 陳致曉揭黑幕批民進黨想賺什麼就讓台灣缺什麼 國人染疫身亡賴清德怎沒哭,中天新聞,中天新聞,2024-01-02,79527,4300,538,,No,https://www.youtube.com/watch?v=DiiOIgFSvKQ,
mCvnYIsbUMw,賴清德中華民國災難說!  年輕人嗆:好意思來選總統｜辮子妹街訪,中天新聞,中天新聞,2024-01-02,76066,3022,363,,No,https://www.youtube.com/watch?v=mCvnYIsbUMw,
_K0DBdKGz9U,"網紅賀瓏""加持助攻""侯康?爆歧見!台上""吵起來了""",中天新聞,中天新聞,2024-01-02,113059,3221,788,,No,https://www.youtube.com/watch?v=_K0DBdKGz9U,
8-ArnxALaCg,"不寒而慄了...!民進黨不用玩了?""一數字""曝立委選情 游盈隆大膽預言:這個黨""會大輸"" 席次大崩跌",中天新聞,中天新聞,2024-01-02,238284,4599,517,,No,https://www.youtube.com/watch?v=8-ArnxALaCg,
cfNPuJWoDMk,趙少康戰情室戰力爆表 33分鐘無冷場電爆賴清德 完整字幕版 20240102 @中天新聞CtiNews,中天新聞,中天新聞,2024-01-02,159290,3905,503,,No,https://www.youtube.com/watch?v=cfNPuJWoDMk,
HE6ohRO0g-E,"【每日必看】斷言決勝關鍵! 蔡正元要藍營做一事：侯友宜勝率高｜賴清德""中華民國憲法災難說"" 郭正亮:賴的真心話 20240103",中天新聞,中天新聞,2024-01-03,56215,1374,144,,No,https://www.youtube.com/watch?v=HE6ohRO0g-E,
ZWfUGSamP5U,"高雄鬧區設彈藥庫?國防部道歉""只是規畫""..綠掛""投國民黨=投共""布條?趙少康:選情緊張剩這招?",中天新聞,中天新聞,2024-01-03,109738,3249,588,,No,https://www.youtube.com/watch?v=ZWfUGSamP5U,
1qMn-AFB4FY,"【每日必看】綠委過半危機?游盈隆:驚爆民進黨恐丟15立委""大輸局面""｜大膽預言2024不分區席次! 蔡正元驚爆:他恐當立法院長 20240103",中天新聞,中天新聞,2024-01-03,62913,1285,110,,No,https://www.youtube.com/watch?v=1qMn-AFB4FY,
rB50Bnq1Uk8,"【全程字幕】直球對決""蘭陽青年""精彩QA! 被問""侯友宜該不該辭?""趙少康機智神回",中天新聞,中天新聞,2024-01-03,87360,2326,362,,No,https://www.youtube.com/watch?v=rB50Bnq1Uk8,
9xNckWvqpoA,"""在路上""KUSO版”出發我們去賴皮寮""! 亮哥""神來一句""鯊鯊主播秒笑歪 @politiciansong",中天新聞,中天新聞,2024-01-03,61088,1445,255,,No,https://www.youtube.com/watch?v=9xNckWvqpoA,
